,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
335,Yonex_All_England_Open,2023-03-15,1,MD,6,0,68,0,6,38,5.0,6,,21,18,17.0,21.0,21.0,16.0,59,55,2,1,4,1,6,5,3,0,0,6.0,20740.0,33.0,5660.0
336,Yonex_All_England_Open,2023-03-19,1,MD,4,0,34,7,10,12,1.0,84,3.0,21,17,21.0,14.0,,,42,31,2,0,3,0,4,4,3,3,0,2.0,24740.0,16.0,12860.0
337,Yonex_All_England_Open,2022-03-16,1,MD,6,0,65,8,14,68,3.0,77,,21,17,18.0,21.0,23.0,21.0,62,59,2,1,8,2,5,5,0,0,1,30.0,3850.0,10.0,8670.0
338,Yonex_All_England_Open,2023-03-14,1,MD,6,0,60,1,7,31,,19,,20,22,21.0,17.0,21.0,13.0,62,52,2,1,5,2,6,2,1,0,0,13.0,14970.0,23.0,9550.0
339,Yonex_All_England_Open,2023-03-17,1,MD,6,0,69,0,12,19,,107,4.0,17,21,21.0,18.0,21.0,15.0,59,54,2,1,3,3,4,6,1,0,1,12.0,15130.0,9.0,15930.0
340,Yonex_All_England_Open,2023-03-17,1,MD,4,0,38,7,10,12,1.0,85,,21,18,21.0,13.0,,,42,31,2,0,5,0,4,3,6,2,0,2.0,24740.0,7.0,19060.0
341,Yonex_All_England_Open,2022-03-16,1,MD,6,0,52,0,14,18,,29,,21,15,19.0,21.0,21.0,11.0,61,47,2,1,2,2,5,5,0,0,1,26.0,4900.0,13.0,7000.0
342,Kapal_Api_Group_Indonesia_Open,2023-06-13,2,MD,6,0,60,10,9,56,8.0,74,,12,21,21.0,6.0,22.0,20.0,55,47,2,1,3,1,6,4,3,0,0,11.0,36190.0,37.0,15590.0
343,Yonex_All_England_Open,2023-03-16,1,MD,4,0,40,0,5,19,,52,7.0,21,15,21.0,10.0,,,42,25,2,0,2,0,8,3,2,0,1,12.0,15130.0,8.0,16990.0
344,Kapal_Api_Group_Indonesia_Open,2023-06-16,2,MD,4,0,41,6,10,65,7.0,26,1.0,21,13,21.0,13.0,,,42,26,2,0,3,0,6,3,3,2,1,13.0,32450.0,4.0,45470.0
345,Yonex_All_England_Open,2023-03-14,1,MD,4,0,35,0,3,19,,72,,21,10,21.0,12.0,,,42,22,2,0,4,0,6,3,0,0,0,12.0,15130.0,26.0,9120.0
346,Kapal_Api_Group_Indonesia_Open,2023-06-14,2,MD,4,0,33,10,10,0,2.0,85,,21,16,21.0,12.0,,,42,28,2,0,3,0,7,4,4,0,1,9.0,39350.0,3.0,50330.0
347,Kapal_Api_Group_Indonesia_Open,2023-06-18,2,MD,4,0,43,6,14,65,7.0,0,2.0,21,17,21.0,18.0,,,42,35,2,0,6,0,6,4,1,8,1,13.0,32450.0,9.0,39350.0
348,Kapal_Api_Group_Indonesia_Open,2023-06-16,2,MD,4,0,41,10,12,0,2.0,1,,21,10,21.0,15.0,,,42,25,2,0,2,0,5,2,4,4,0,9.0,39350.0,19.0,29280.0
349,Kapal_Api_Group_Indonesia_Open,2023-06-15,2,MD,4,0,46,6,2,65,7.0,35,,21,17,21.0,15.0,,,42,32,2,0,6,0,5,4,2,0,1,13.0,32450.0,6.0,43140.0
350,Kapal_Api_Group_Indonesia_Open,2023-06-14,2,MD,6,0,67,0,5,38,5.0,52,,16,21,21.0,19.0,21.0,15.0,58,55,2,1,2,1,5,8,3,3,0,16.0,32220.0,18.0,29420.0
351,Kapal_Api_Group_Indonesia_Open,2023-06-17,2,MD,6,0,67,6,13,65,7.0,47,,17,21,21.0,19.0,21.0,18.0,59,58,2,1,6,2,7,5,4,3,1,13.0,32450.0,5.0,44170.0
352,Kapal_Api_Group_Indonesia_Open,2023-06-16,2,MD,6,0,60,7,2,59,,66,6.0,16,21,21.0,17.0,21.0,19.0,58,57,2,1,4,2,5,5,0,2,1,15.0,32280.0,1.0,53420.0
353,Kapal_Api_Group_Indonesia_Open,2023-06-15,2,MD,4,0,42,7,14,33,,89,8.0,22,20,21.0,17.0,,,43,37,2,0,5,0,6,5,1,2,0,2.0,53190.0,11.0,36190.0
354,Kapal_Api_Group_Indonesia_Open,2023-06-17,2,MD,6,0,57,10,10,0,2.0,96,,12,21,23.0,21.0,21.0,13.0,56,55,2,1,3,2,5,6,2,1,0,9.0,39350.0,15.0,32280.0
355,Kapal_Api_Group_Indonesia_Open,2023-06-13,2,MD,6,0,56,9,3,26,,72,,15,21,21.0,11.0,21.0,12.0,57,44,2,1,3,2,7,6,2,0,0,5.0,44170.0,21.0,27840.0
356,Yonex_All_England_Open,2023-03-15,1,MD,4,0,39,4,15,41,,101,,21,16,21.0,15.0,,,42,31,2,0,3,0,5,5,0,0,1,27.0,9010.0,23.0,9550.0
357,Kapal_Api_Group_Indonesia_Open,2023-06-14,2,MD,4,0,37,8,18,68,3.0,2,,21,19,21.0,16.0,,,42,35,2,0,3,0,4,4,5,0,0,7.0,39950.0,26.0,23660.0
358,Yonex_All_England_Open,2023-03-16,1,MD,4,0,39,8,18,68,4.0,2,,21,17,21.0,17.0,,,42,34,2,0,7,0,7,4,5,0,0,9.0,15930.0,33.0,5660.0
359,Yonex_All_England_Open,2023-03-15,1,MD,4,0,35,13,13,2,,15,,21,15,21.0,14.0,,,42,29,2,0,4,0,6,3,0,2,1,33.0,5660.0,14.0,14880.0
360,Victor_China_Open,2023-09-05,0,MD,4,0,36,0,10,35,3.0,64,6.0,21,15,21.0,18.0,,,42,33,2,0,4,0,7,4,1,1,0,4.0,70760.0,5.0,66600.0
361,Yonex_All_England_Open,2023-03-16,1,MD,4,0,32,7,5,33,,43,,21,15,21.0,16.0,,,42,31,2,0,3,0,8,5,1,1,0,4.0,23660.0,47.0,3850.0
362,Kapal_Api_Group_Indonesia_Open,2023-06-15,2,MD,6,0,54,7,10,59,,84,4.0,18,21,21.0,19.0,23.0,21.0,62,61,2,1,4,1,6,5,0,5,1,15.0,32280.0,14.0,32420.0
363,Kapal_Api_Group_Indonesia_Open,2023-06-16,2,MD,4,0,31,9,10,26,,64,,21,14,21.0,10.0,,,42,24,2,0,2,0,12,6,1,0,1,5.0,44170.0,2.0,53190.0
364,Kapal_Api_Group_Indonesia_Open,2023-06-14,2,MD,6,0,66,8,14,27,,77,,19,21,21.0,15.0,21.0,19.0,61,55,2,1,5,3,5,4,0,1,0,25.0,24230.0,32.0,17780.0
365,Yonex_All_England_Open,2023-03-16,1,MD,4,0,38,0,2,38,5.0,99,,21,18,22.0,20.0,,,43,38,2,0,9,0,7,5,2,0,0,6.0,20740.0,19.0,12590.0
366,Kapal_Api_Group_Indonesia_Open,2023-06-13,2,MD,4,0,36,7,5,12,1.0,43,,21,15,21.0,11.0,,,42,26,2,0,2,0,6,4,1,0,0,4.0,45470.0,29.0,19580.0
367,Victor_China_Open,2023-09-05,0,MD,4,0,50,2,10,29,,26,1.0,21,19,21.0,19.0,,,42,38,2,0,4,0,5,3,3,4,1,18.0,45940.0,1.0,72610.0
368,Kapal_Api_Group_Indonesia_Open,2023-06-13,2,MD,6,0,63,7,12,33,,5,,23,21,8.0,21.0,21.0,12.0,52,54,2,1,3,2,4,6,1,0,0,2.0,53190.0,34.0,16560.0
369,Yonex_All_England_Open,2023-03-15,1,MD,4,0,43,6,9,65,6.0,60,,21,13,21.0,13.0,,,42,26,2,0,2,0,4,3,0,0,0,18.0,12720.0,25.0,9540.0
370,Kapal_Api_Group_Indonesia_Open,2023-06-13,2,MD,6,0,57,0,7,19,,73,,21,12,21.0,23.0,21.0,9.0,63,44,2,1,2,4,5,4,0,0,0,6.0,43140.0,26.0,23660.0
371,Victor_China_Open,2023-09-06,0,MD,4,0,47,10,2,56,,99,,21,16,23.0,21.0,,,44,37,2,0,2,2,5,4,2,0,0,9.0,57410.0,15.0,51160.0
372,Kapal_Api_Group_Indonesia_Open,2023-06-15,2,MD,4,0,38,10,13,0,2.0,15,,21,19,21.0,16.0,,,42,35,2,0,5,0,5,6,3,0,0,9.0,39350.0,12.0,35600.0
373,Kapal_Api_Group_Indonesia_Open,2023-06-14,2,MD,6,0,66,8,3,1,,63,,21,18,17.0,21.0,21.0,12.0,59,51,2,1,2,2,5,6,0,5,0,19.0,29280.0,35.0,16280.0
374,Yonex_All_England_Open,2023-03-14,1,MD,4,0,33,8,12,68,4.0,49,,21,12,21.0,14.0,,,42,26,2,0,5,0,6,3,3,0,0,9.0,15930.0,20.0,12370.0
375,Victor_China_Open,2023-09-06,0,MD,6,0,52,9,10,26,,84,2.0,21,18,15.0,21.0,21.0,12.0,57,51,2,1,4,2,5,5,4,2,0,2.0,72510.0,14.0,51910.0
376,Victor_China_Open,2023-09-05,0,MD,4,0,26,8,19,68,5.0,105,,21,9,21.0,5.0,,,42,14,2,0,3,0,10,2,2,0,0,3.0,71980.0,26.0,33540.0
377,Victor_China_Open,2023-09-06,0,MD,4,0,29,1,3,32,5.0,104,,21,14,21.0,14.0,,,42,28,2,0,3,0,6,3,1,0,0,19.0,45870.0,21.0,40750.0
378,Victor_China_Open,2023-09-07,0,MD,4,0,39,0,12,35,3.0,1,,21,14,22.0,20.0,,,43,34,2,0,4,0,4,4,0,1,0,4.0,70760.0,10.0,55610.0
379,Victor_China_Open,2023-09-06,0,MD,4,0,35,0,3,19,,12,,21,14,21.0,17.0,,,42,31,2,0,4,0,6,3,0,1,0,11.0,54200.0,32.0,28230.0
380,Kapal_Api_Group_Indonesia_Open,2023-06-15,2,MD,6,0,71,8,2,1,,69,5.0,18,21,24.0,22.0,21.0,16.0,63,59,2,1,9,1,5,4,0,5,1,19.0,29280.0,16.0,32220.0
381,Yonex_All_England_Open,2023-03-15,1,MD,4,0,36,7,10,53,3.0,96,,25,23,21.0,18.0,,,46,41,2,0,3,3,3,4,4,1,0,16.0,12860.0,22.0,10870.0
382,Kapal_Api_Group_Indonesia_Open,2023-06-14,2,MD,4,0,30,7,19,53,4.0,105,,21,16,21.0,17.0,,,42,33,2,0,3,0,5,4,1,0,0,14.0,32420.0,23.0,25660.0
383,Yonex_All_England_Open,2023-03-16,1,MD,4,0,29,7,3,12,1.0,62,,22,20,21.0,15.0,,,43,35,2,0,5,0,5,4,3,2,0,2.0,24740.0,13.0,14970.0
384,Kapal_Api_Group_Indonesia_Open,2023-06-13,2,MD,4,0,29,0,3,61,,62,,21,15,21.0,16.0,,,42,31,2,0,4,0,7,5,0,0,0,8.0,39820.0,10.0,37570.0
385,Victor_China_Open,2023-09-08,0,MD,4,0,39,0,2,35,3.0,69,7.0,21,18,21.0,19.0,,,42,37,2,0,4,0,5,4,1,1,0,4.0,70760.0,17.0,48320.0
386,Kapal_Api_Group_Indonesia_Open,2023-06-15,2,MD,4,0,40,7,2,12,1.0,99,,21,14,21.0,17.0,,,42,31,2,0,3,0,6,4,1,0,0,4.0,45470.0,8.0,39820.0
387,Victor_China_Open,2023-09-07,0,MD,4,0,40,10,2,0,4.0,35,,21,16,21.0,17.0,,,42,33,2,0,3,0,3,3,2,1,0,6.0,64240.0,11.0,54200.0
388,Yonex_All_England_Open,2023-03-15,1,MD,4,0,28,0,19,35,,105,,21,13,21.0,18.0,,,42,31,2,0,3,0,5,5,1,1,0,1.0,26470.0,21.0,12220.0
389,Victor_China_Open,2023-09-06,0,MD,6,0,68,7,9,54,,103,,21,17,11.0,21.0,21.0,17.0,53,55,2,1,6,2,5,6,3,4,0,7.0,59870.0,8.0,59700.0
390,Victor_China_Open,2023-09-08,0,MD,4,0,39,9,10,26,,85,,21,15,21.0,17.0,,,42,32,2,0,2,0,5,4,4,1,0,2.0,72510.0,7.0,59870.0
391,Yonex_All_England_Open,2023-03-16,1,MD,4,0,30,7,7,53,3.0,73,,21,14,21.0,13.0,,,42,27,2,0,5,0,5,3,1,1,0,16.0,12860.0,27.0,9010.0
392,Victor_China_Open,2023-09-07,0,MD,6,0,69,9,3,26,,63,5.0,21,19,17.0,21.0,25.0,23.0,63,63,2,1,3,5,4,5,3,1,0,2.0,72510.0,19.0,45870.0
393,Kapal_Api_Group_Indonesia_Open,2023-06-15,2,MD,4,0,31,0,12,35,6.0,49,,21,9,21.0,16.0,,,42,25,2,0,3,0,6,3,2,0,0,1.0,53420.0,25.0,24230.0
394,Victor_China_Open,2023-09-06,0,MD,4,0,35,10,13,0,4.0,15,,21,10,25.0,23.0,,,46,33,2,0,4,5,4,4,3,0,0,6.0,64240.0,22.0,40400.0
395,Victor_China_Open,2023-09-08,0,MD,4,0,40,8,5,68,5.0,52,,21,12,21.0,17.0,,,42,29,2,0,2,0,4,4,6,7,0,3.0,71980.0,18.0,45940.0
396,Victor_China_Open,2023-09-05,0,MD,4,0,37,0,7,38,7.0,19,,21,16,21.0,14.0,,,42,30,2,0,4,0,5,5,4,0,0,17.0,48320.0,33.0,27660.0
397,Yonex_All_England_Open,2023-03-15,1,MD,6,0,75,2,12,24,,1,,18,21,23.0,21.0,24.0,22.0,65,64,2,1,5,4,4,10,0,1,1,47.0,3850.0,17.0,12780.0
398,Victor_China_Open,2023-09-08,0,MD,6,0,62,10,14,0,4.0,89,,19,21,21.0,19.0,21.0,11.0,61,51,2,1,3,3,5,4,5,2,0,6.0,64240.0,9.0,57410.0
399,Yonex_All_England_Open,2022-03-16,1,MD,4,0,36,10,18,0,4.0,20,,21,14,21.0,19.0,,,42,33,2,0,4,0,4,5,1,0,1,,,54.0,1670.0
400,Yonex_All_England_Open,2023-03-15,1,MD,4,0,38,0,9,61,,74,,21,16,21.0,15.0,,,42,31,2,0,2,0,4,3,0,0,0,19.0,12590.0,,
401,Victor_China_Open,2023-09-07,0,MD,4,0,28,2,3,29,,62,,21,8,21.0,13.0,,,42,21,2,0,5,0,5,3,2,0,1,18.0,45940.0,16.0,50390.0
402,Kapal_Api_Group_Indonesia_Open,2023-06-15,2,MD,4,0,42,9,12,26,,107,3.0,21,18,21.0,14.0,,,42,32,2,0,3,0,8,4,5,3,0,5.0,44170.0,7.0,39950.0
403,Victor_China_Open,2023-09-06,0,MD,4,0,37,2,7,60,,73,,21,17,21.0,9.0,,,42,26,2,0,3,0,7,2,0,0,1,41.0,20000.0,23.0,36770.0
404,Victor_China_Open,2023-09-07,0,MD,4,0,36,10,5,56,,98,,21,12,21.0,17.0,,,42,29,2,0,3,0,6,4,0,1,0,9.0,57410.0,41.0,20000.0
405,Victor_China_Open,2023-09-05,0,MD,4,0,38,8,18,1,,2,,21,13,21.0,17.0,,,42,30,2,0,3,0,4,3,0,0,0,10.0,55610.0,34.0,26660.0
406,Victor_China_Open,2023-09-06,0,MD,6,0,59,7,12,59,,5,4.0,22,20,19.0,21.0,21.0,17.0,62,58,2,1,5,1,4,4,3,0,0,13.0,51980.0,29.0,28880.0
407,Kapal_Api_Group_Indonesia_Open,2023-06-14,2,MD,6,0,56,7,6,59,,6,,21,15,13.0,21.0,21.0,14.0,55,50,2,1,4,2,4,5,3,0,0,15.0,32280.0,17.0,29850.0
408,Victor_China_Open,2023-09-05,0,MD,4,0,33,1,3,31,,72,,22,20,21.0,13.0,,,43,33,2,0,4,0,5,3,0,2,1,16.0,50390.0,12.0,53070.0
409,Victor_China_Open,2023-09-05,0,MD,6,0,64,1,8,13,,80,,18,21,21.0,13.0,21.0,16.0,60,50,2,1,4,1,6,6,0,1,0,27.0,31260.0,39.0,22710.0
410,Petronas_Malaysia_Open,2024-01-10,3,MD,6,0,62,10,5,0,3.0,98,,20,22,21.0,13.0,21.0,13.0,62,48,2,1,2,2,8,4,0,0,1,,,15.0,4900.0
411,Kapal_Api_Group_Indonesia_Open,2023-06-14,2,MD,4,0,23,0,1,35,6.0,51,,21,13,21.0,13.0,,,42,26,2,0,2,0,7,3,1,0,0,1.0,53420.0,63.0,4650.0
412,Petronas_Malaysia_Open,2024-01-09,3,MD,4,0,47,8,8,27,7.0,80,,22,20,21.0,16.0,,,43,36,2,0,3,0,4,6,1,0,1,,,32.0,2750.0
413,Victor_China_Open,2023-09-05,0,MD,4,0,47,8,9,27,7.0,74,,23,21,21.0,19.0,,,44,40,2,0,4,3,5,4,0,1,0,20.0,43990.0,37.0,23470.0
414,Victor_China_Open,2023-09-07,0,MD,4,0,43,8,12,68,5.0,49,7.0,21,17,21.0,19.0,,,42,36,2,0,6,0,7,3,3,0,0,3.0,71980.0,20.0,43990.0
415,Yonex_All_England_Open,2024-03-12,1,MD,6,0,65,0,14,38,8.0,89,,15,21,23.0,21.0,21.0,14.0,59,56,2,1,2,5,4,5,3,1,1,14.0,19790.0,11.0,20510.0
416,Victor_China_Open,2023-09-07,0,MD,6,0,60,0,3,38,7.0,27,,15,21,21.0,17.0,21.0,18.0,57,56,2,1,3,1,5,6,0,0,0,17.0,48320.0,27.0,31260.0
417,Yonex_All_England_Open,2024-03-12,1,MD,4,0,30,2,7,29,4.0,19,,21,16,21.0,13.0,,,42,29,2,0,2,0,6,4,6,0,0,6.0,24700.0,29.0,13290.0
418,Yonex_All_England_Open,2024-03-13,1,MD,4,0,39,8,6,68,6.0,6,,21,9,21.0,19.0,,,42,28,2,0,4,0,5,3,4,1,0,8.0,23800.0,30.0,13220.0
419,Yonex_All_England_Open,2024-03-16,1,MD,4,0,36,10,3,0,5.0,62,,21,16,21.0,15.0,,,42,31,2,0,2,0,6,4,3,0,1,12.0,20350.0,3.0,29880.0
420,Yonex_All_England_Open,2024-03-15,1,MD,4,0,45,7,3,12,7.0,63,2.0,21,14,24.0,22.0,,,45,36,2,0,2,3,3,3,5,3,0,5.0,25120.0,27.0,13580.0
421,Yonex_All_England_Open,2024-03-17,1,MD,4,0,44,7,14,12,7.0,0,5.0,21,16,21.0,16.0,,,42,32,2,0,5,0,6,3,3,4,0,5.0,25120.0,12.0,20350.0
422,Yonex_All_England_Open,2024-03-16,1,MD,4,0,40,7,12,12,7.0,107,6.0,21,18,21.0,18.0,,,42,36,2,0,2,0,7,5,3,3,0,5.0,25120.0,8.0,23800.0
423,Yonex_All_England_Open,2024-03-15,1,MD,4,0,31,10,10,0,5.0,85,3.0,21,14,21.0,11.0,,,42,25,2,0,2,0,8,3,4,0,0,12.0,20350.0,18.0,18260.0
424,Yonex_All_England_Open,2024-03-14,1,MD,6,0,50,14,5,66,,52,4.0,21,12,5.0,21.0,21.0,19.0,47,52,2,1,2,1,4,11,0,3,1,7.0,23850.0,6.0,24700.0
425,Petronas_Malaysia_Open,2024-01-10,3,MD,4,0,38,7,12,53,1.0,1,,21,18,21.0,15.0,,,42,33,2,0,5,0,5,4,2,0,1,,,10.0,5950.0
426,Victor_China_Open,2023-09-07,0,MD,4,0,32,7,10,54,,96,,21,16,21.0,12.0,,,42,28,2,0,3,0,7,4,2,2,0,7.0,59870.0,13.0,51980.0
427,Yonex_All_England_Open,2024-03-14,1,MD,4,0,41,7,9,54,3.0,103,4.0,21,16,21.0,15.0,,,42,31,2,0,2,0,6,4,3,4,1,18.0,18260.0,1.0,30550.0
428,Petronas_Malaysia_Open,2024-01-11,3,MD,4,0,39,6,7,65,,73,,21,11,21.0,18.0,,,42,29,2,0,3,0,9,9,2,0,1,,,32.0,2750.0
429,Kapal_Api_Indonesia_Open,2024-06-05,2,MD,6,0,52,0,12,17,,107,6.0,9,21,21.0,18.0,21.0,12.0,51,51,2,1,3,1,7,7,1,1,0,4.0,36730.0,8.0,32200.0
430,Yonex_All_England_Open,2024-03-13,1,MD,4,0,34,6,10,65,4.0,84,1.0,21,18,21.0,14.0,,,42,32,2,0,2,0,5,4,2,4,0,1.0,30550.0,44.0,7460.0
431,Yonex_All_England_Open,2024-03-12,1,MD,4,0,45,14,7,66,,73,,26,24,21.0,12.0,,,47,36,2,0,6,2,6,3,2,0,0,7.0,23850.0,22.0,16200.0
432,Yonex_All_England_Open,2024-03-13,1,MD,4,0,28,1,20,31,,111,,21,6,21.0,16.0,,,42,22,2,0,4,0,9,3,1,0,0,3.0,29880.0,41.0,8220.0
433,Yonex_All_England_Open,2024-03-15,1,MD,4,0,27,1,19,31,,105,,21,13,21.0,17.0,,,42,30,2,0,4,0,5,2,1,0,0,3.0,29880.0,7.0,23850.0
434,Yonex_All_England_Open,2024-03-12,1,MD,4,0,29,1,1,7,,51,,21,10,21.0,14.0,,,42,24,2,0,2,0,6,3,1,0,0,33.0,11480.0,79.0,2660.0
435,Kapal_Api_Indonesia_Open,2024-06-04,2,MD,6,0,59,10,13,45,,47,3.0,20,22,21.0,16.0,21.0,17.0,62,55,2,1,7,1,5,6,0,3,1,29.0,20430.0,11.0,30100.0
436,Yonex_All_England_Open,2024-03-15,1,MD,6,0,53,8,2,68,6.0,33,,14,21,21.0,15.0,21.0,9.0,56,45,2,1,2,2,6,4,0,2,1,8.0,23800.0,2.0,30130.0
437,Kapal_Api_Indonesia_Open,2024-06-04,2,MD,4,0,46,2,2,60,,13,,21,18,23.0,21.0,,,44,39,2,0,7,0,6,4,0,0,0,17.0,24140.0,32.0,19010.0
