,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
44,Victor_China_Open,2018-09-22,0,MS,6,0,68,7,4,1,,7,5.0,12,21,21.0,17.0,21.0,15.0,54,53,2,1,5,1,4,5,9,6,1,16.0,28550.0,2.0,46490.0
45,Victor_China_Open,2018-09-21,0,MS,4,0,35,1,8,47,2.0,47,8.0,21,17,21.0,15.0,,,42,32,2,0,2,0,5,4,10,3,0,4.0,40550.0,15.0,28930.0
46,Victor_China_Open,2018-09-22,0,MS,4,0,40,9,3,17,3.0,60,2.0,21,10,21.0,17.0,,,42,27,2,0,6,0,7,3,5,6,1,13.0,29050.0,4.0,40550.0
47,Blibli_Indonesia_Open,2018-07-05,2,MS,6,0,60,6,4,41,8.0,71,,21,23,21.0,15.0,21.0,13.0,63,51,2,1,4,1,7,5,5,3,1,57.0,8820.0,12.0,23030.0
48,Blibli_Indonesia_Open,2018-07-04,2,MS,4,0,54,3,13,0,,22,,21,14,25.0,23.0,,,46,37,2,0,5,2,6,4,8,4,1,44.0,11040.0,14.0,19300.0
49,Victor_China_Open,2018-09-21,0,MS,6,0,85,7,3,1,,4,6.0,18,21,22.0,20.0,21.0,16.0,61,57,2,1,4,1,9,7,7,6,0,16.0,28550.0,39.0,19520.0
50,Yonex_All_England_Open,2018-03-15,1,MS,4,0,44,1,4,33,6.0,71,,21,13,23.0,21.0,,,44,34,2,0,5,3,6,4,1,2,1,26.0,8290.0,9.0,13910.0
51,Blibli_Indonesia_Open,2018-07-05,2,MS,4,0,35,1,13,47,3.0,21,,21,14,21.0,17.0,,,42,31,2,0,4,0,5,3,4,1,0,3.0,32150.0,41.0,12680.0
52,Blibli_Indonesia_Open,2018-07-05,2,MS,4,0,39,3,9,54,1.0,58,,21,15,21.0,14.0,,,42,29,2,0,5,0,6,3,2,0,1,22.0,18850.0,6.0,28470.0
53,Victor_China_Open,2018-09-20,0,MS,6,0,57,1,14,47,2.0,34,,19,21,21.0,18.0,21.0,15.0,61,54,2,1,4,4,6,8,3,1,0,4.0,40550.0,33.0,22130.0
