,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
211,Siminvest_Indonesia_Open_2021_New_,2021-11-25,2,WS,6,0,56,17,14,25,,69,8.0,21,19,14.0,21.0,21.0,14.0,56,54,2,1,6,2,5,5,0,1,0,6.0,23820.0,21.0,14150.0
212,Siminvest_Indonesia_Open_2021_New_,2021-11-23,2,WS,4,0,26,11,12,1,4.0,64,,21,11,21.0,8.0,,,42,19,2,0,3,0,14,3,1,1,0,14.0,17900.0,36.0,9640.0
213,Yonex_All_England_Open,2020-03-11,1,WS,6,0,65,17,5,6,,51,,21,15,14.0,21.0,21.0,16.0,56,52,2,1,7,2,9,5,3,2,0,6.0,13470.0,,
214,Yonex_All_England_Open,2021-03-19,1,WS,4,0,38,17,28,37,6.0,6,,21,16,21.0,19.0,,,42,35,2,0,0,0,0,0,3,3,0,3.0,4900.0,5.0,3850.0
215,Siminvest_Indonesia_Open_2021_New_,2021-11-24,2,WS,4,0,36,17,15,41,2.0,30,,21,19,21.0,12.0,,,42,31,2,0,2,0,8,8,0,4,0,7.0,21050.0,38.0,9130.0
216,Yonex_All_England_Open,2021-03-17,1,WS,4,0,29,10,5,35,2.0,29,,21,11,21.0,7.0,,,42,18,2,0,2,0,10,2,1,0,1,,,9.0,2750.0
217,Yonex_All_England_Open,2021-03-18,1,WS,4,0,28,10,1,35,2.0,42,,21,6,21.0,13.0,,,42,19,2,0,0,0,0,0,1,0,1,,,17.0,1670.0
218,Yonex_All_England_Open,2018-03-14,1,WS,4,0,31,10,4,35,7.0,57,,21,15,21.0,8.0,,,42,23,2,0,3,0,8,5,4,3,1,41.0,5040.0,22.0,7200.0
219,Yonex_All_England_Open,2020-03-12,1,WS,6,0,72,17,3,37,,26,7.0,17,21,21.0,18.0,21.0,12.0,59,51,2,1,0,0,0,0,1,14,0,5.0,15860.0,7.0,12840.0
220,Siminvest_Indonesia_Open_2021_New_,2021-11-26,2,WS,4,0,34,11,25,1,4.0,36,,21,13,21.0,11.0,,,42,24,2,0,2,0,7,3,5,2,1,14.0,17900.0,6.0,23820.0
221,Yonex_All_England_Open,2021-03-18,1,WS,4,0,25,8,5,39,5.0,43,,21,8,21.0,8.0,,,42,16,2,0,0,0,0,0,4,0,0,2.0,5950.0,5.0,3850.0
222,Siminvest_Indonesia_Open_2021_New_,2021-11-25,2,WS,6,0,63,10,21,0,1.0,82,,21,15,19.0,21.0,21.0,14.0,61,50,2,1,4,1,6,3,3,1,0,3.0,29600.0,16.0,16850.0
223,Yonex_All_England_Open,2021-03-18,1,WS,4,0,39,17,25,37,6.0,36,,21,17,21.0,11.0,,,42,28,2,0,0,0,0,0,2,2,0,3.0,4900.0,5.0,3850.0
