,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
100,Yonex_All_England_Open,2019-03-08,England,MD,4,0,27,Indonesia,Germany,"Mohammad Ahsan, Hendra Setiawan",6.0,"Mark Lamsfuss, Marvin Seidel",,21,12,21.0,13.0,,,42,25,2,0,2,0,7,3,4,1,0,10,11400,11,11040
101,Blibli_Indonesia_Open,2019-07-17,Indonesia,MD,6,0,66,Indonesia,China,"Fajar Alfian, Muhammad Rian Ardianto",6.0,"Huang Kai Xiang, Liu Cheng",,18,21,21.0,14.0,21.0,16.0,60,51,2,1,3,1,3,4,0,0,0,6,38450,26,19850
102,Blibli_Indonesia_Open,2019-07-16,Indonesia,MD,4,0,45,China,Netherlands,"Ou Xuan Yi, Zhang Nan",,"Jelle Maas, Robin Tabeling",,21,17,21.0,18.0,,,42,35,2,0,2,0,5,4,0,0,0,14,26340,44,12390
103,Blibli_Indonesia_Open,2019-07-18,Indonesia,MD,4,0,30,Indonesia,Germany,"Mohammad Ahsan, Hendra Setiawan",4.0,"Mark Lamsfuss, Marvin Seidel",,21,16,21.0,17.0,,,42,33,2,0,2,0,8,5,4,1,0,2,51950,22,22060
104,Blibli_Indonesia_Open,2019-07-19,Indonesia,MD,4,0,31,Indonesia,China,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1.0,"Ou Xuan Yi, Zhang Nan",,21,12,21.0,16.0,,,42,28,2,0,3,0,6,3,2,0,0,11,33870,14,26340
105,Blibli_Indonesia_Open,2019-07-21,Indonesia,MD,4,0,28,Indonesia,Indonesia,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1.0,"Mohammad Ahsan, Hendra Setiawan",4.0,21,19,21.0,16.0,,,42,35,2,0,5,0,5,4,10,2,1,11,33870,2,51950
106,Blibli_Indonesia_Open,2019-07-19,Indonesia,MD,4,0,42,Japan,Indonesia,"Takuro Hoki, Yugo Kobayashi",,"Fajar Alfian, Muhammad Rian Ardianto",6.0,21,19,21.0,12.0,,,42,31,2,0,4,0,4,4,2,4,1,16,25980,6,38450
107,Yonex_All_England_Open,2019-03-06,England,MD,6,0,73,Denmark,Indonesia,"Kim Astrup, Anders Skaarup Rasmussen",5.0,"Wahyu Nayaka Arya Pangkaryanira, Ade Yusuf Santoso",,21,18,15.0,21.0,22.0,20.0,58,59,2,1,5,3,5,7,0,1,0,7,15310,13,9950
108,Yonex_All_England_Open,2019-03-07,England,MD,4,0,32,Indonesia,Russia,"Mohammad Ahsan, Hendra Setiawan",6.0,"Vladimir Ivanov, Ivan Sozonov",,21,19,21.0,18.0,,,42,37,2,0,4,0,5,5,5,0,0,10,11400,28,7190
109,Yonex_All_England_Open,2019-03-08,England,MD,4,0,36,Japan,China,"Takeshi Kamura, Keigo Sonoda",3.0,"Han Cheng Kai, Zhou Hao Dong",7.0,21,12,21.0,17.0,,,42,29,2,0,5,0,4,3,2,0,0,5,16030,18,9170
