,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
36,Victor_China_Open,2018-09-21,China,WS,4,0,36,Japan,China,Akane Yamaguchi,2.0,He Bing Jiao,7.0,21,19,21.0,16.0,,,42,35,2,0,3,0,3,4,12,4,0,3,41310,14,32210
37,Victor_China_Open,2018-09-20,China,WS,4,0,37,China,Korea,Chen Yu Fei,5.0,Sung Jihyun,,21,18,21.0,15.0,,,42,33,2,0,4,0,4,2,9,1,0,11,34470,24,26830
38,Blibli_Indonesia_Open,2018-07-03,Indonesia,WS,4,0,29,Korea,Spain,Sung Jihyun,7.0,Beatriz Corrales,,21,9,21.0,16.0,,,42,25,2,0,3,0,6,3,1,0,1,28,14110,13,18740
39,Victor_China_Open,2018-09-19,China,WS,4,0,31,Japan,Scotland,Sayaka Takahashi,,Kirsty Gilmour,,21,18,21.0,9.0,,,42,27,2,0,4,0,10,3,3,2,0,5,39340,28,24650
40,Blibli_Indonesia_Open,2018-07-04,Indonesia,WS,6,0,51,Japan,Usa,Aya Ohori,,Beiwen Zhang,,21,15,21.0,23.0,21.0,11.0,63,49,2,1,3,2,8,3,0,4,1,11,20070,3,24220
41,Blibli_Indonesia_Open,2018-07-05,Indonesia,WS,4,0,32,China,Thailand,He Bing Jiao,8.0,Busanan Ongbamrungphan,,21,15,21.0,12.0,,,42,27,2,0,2,0,5,6,10,1,0,27,14460,31,13090
42,Yonex_All_England_Open,2018-03-14,England,WS,6,0,60,Indonesia,Malaysia,Fitriani Fitriani,,Soniia Cheah,,16,21,21.0,18.0,21.0,9.0,58,48,2,1,2,1,8,9,1,3,1,33,5820,25,7120
43,Victor_China_Open,2018-09-21,China,WS,4,0,40,Spain,China,Carolina Marin,6.0,Gao Fang Jie,,21,10,24.0,22.0,,,45,32,2,0,3,2,8,5,5,1,0,15,32150,30,23250
44,Victor_China_Open,2018-09-22,China,WS,6,0,60,China,Japan,Chen Yu Fei,5.0,Akane Yamaguchi,2.0,21,14,15.0,21.0,21.0,14.0,57,49,2,1,2,2,7,6,10,21,1,11,34470,3,41310
45,Victor_China_Open,2018-09-22,China,WS,6,0,65,Spain,Japan,Carolina Marin,6.0,Nozomi Okuhara,8.0,15,21,21.0,12.0,21.0,13.0,57,46,2,1,2,2,5,4,9,8,1,15,32150,9,34860
46,Victor_China_Open,2018-09-18,China,WS,6,0,48,Korea,India,Sung Jihyun,,Saina Nehwal,,20,22,21.0,8.0,21.0,14.0,62,44,2,1,3,2,9,4,2,8,0,24,26830,27,24960
47,Yonex_All_England_Open,2018-03-15,England,WS,4,0,43,China,Korea,Chen Yu Fei,8.0,Kim Hyo Min,,21,15,21.0,14.0,,,42,29,2,0,5,0,6,4,2,1,0,8,13210,70,2750
48,Victor_China_Open,2018-09-21,China,WS,6,0,52,China,India,Chen Yu Fei,5.0,Pusarla V. Sindhu,3.0,21,11,11.0,21.0,21.0,15.0,53,47,2,1,2,1,5,6,5,6,1,11,34470,2,43340
49,Victor_China_Open,2018-09-18,China,WS,4,0,28,Thailand,Spain,Busanan Ongbamrungphan,,Beatriz Corrales,,21,12,21.0,16.0,,,42,28,2,0,4,0,5,3,2,1,1,20,28940,17,31410
50,Blibli_Indonesia_Open,2018-07-03,Indonesia,WS,4,0,28,China,Russia,Chen Yu Fei,5.0,Evgeniya Kosetskaya,,21,10,21.0,15.0,,,42,25,2,0,3,0,6,3,2,0,0,7,21610,39,11790
51,Victor_China_Open,2018-09-19,China,WS,6,0,60,Indonesia,China,Gregoria Mariska Tunjung,,Chen Xiao Xin,,12,21,21.0,19.0,23.0,21.0,56,61,2,1,5,1,6,7,1,0,0,23,26830,83,8570
52,Victor_China_Open,2018-09-20,China,WS,4,0,54,China,Thailand,Gao Fang Jie,,Nitchaon Jindapol,,22,20,21.0,18.0,,,43,38,2,0,3,3,5,5,1,1,1,30,23250,4,39860
53,Yonex_All_England_Open,2018-03-15,England,WS,4,0,35,Japan,Indonesia,Nozomi Okuhara,7.0,Fitriani Fitriani,,21,13,21.0,15.0,,,42,28,2,0,2,0,5,3,1,0,0,18,9940,32,7490
54,Victor_China_Open,2018-09-23,China,WS,4,0,47,Spain,China,Carolina Marin,6.0,Chen Yu Fei,5.0,21,18,21.0,13.0,,,42,31,2,0,4,0,12,6,5,7,1,15,32150,11,34470
55,Victor_China_Open,2018-09-19,China,WS,4,0,36,Thailand,China,Nitchaon Jindapol,,Cai Yan Yan,,21,14,21.0,18.0,,,42,32,2,0,4,0,4,2,0,0,0,4,39860,26,25300
